flight,instrument,opr_frame,opr_year,distance_m,ice_thickness_agasea,ice_thickness_opr,rssnr_agasea,rssnr_opr,lat,lon,ice_thickness_diff,rssnr_diff
DRP07c,HiCARS,Data_20121016_02_040,2012,1144.5587841811525,2063.3160016835013,2140.822011460072,62.21497538650479,71.74064597922266,-76.56674474999156,-108.62617324467496,-77.50600977657086,-9.525670592717873
DRP07c,HiCARS,Data_20141103_04_036,2014,762.5977866439277,2139.4575336700336,2101.3851417316564,76.2645517920873,79.40044079151369,-76.5746129769465,-108.66363263453937,38.07239193837722,-3.1358889994263848
DRP07c,HiCARS,Data_20141121_06_006,2014,1562.1223318274765,2561.9647861952863,2598.106789817264,86.9653463944003,85.29383210620459,-77.15100316916505,-109.62207283520084,-36.14200362197789,1.6715142881957092
DRP07c,HiCARS,Data_20161103_06_026,2016,525.0731478413732,2130.051671717172,2163.4307014719902,69.99373589044536,68.19116713568955,-75.96209685765047,-107.86261806487298,-33.37902975481802,1.8025687547558107
DRP07c,HiCARS,Data_20161103_06_031,2016,777.301689839369,2251.79385016835,2194.0452868701786,79.50946573647342,85.12766085127285,-76.24101967019222,-108.20848530115245,57.748563298171575,-5.618195114799434
DRP07c,HiCARS,Data_20161103_06_037,2016,24.04327696216433,2197.633567340067,2173.6355632713867,70.50752423117314,80.4643874429808,-76.57136445018824,-108.64702148332508,23.99800406868053,-9.956863211807658
DRP07c,HiCARS,Data_20161109_03_043,2016,17.26391756365204,2316.698707070707,2306.2987666635368,80.9701271228414,84.33724764086081,-76.76388005750377,-108.97519401125858,10.399940407170106,-3.367120518019405
DRP07c,HiCARS,Data_20161109_03_044,2016,238.16615449827881,2418.265627946128,2413.449815557197,88.31325983981885,81.75006571392622,-76.72666588238559,-108.91637448845486,4.8158123889311355,6.563194125892636
DRP07c,HiCARS,Data_20161109_03_045,2016,24.13733644208242,2139.015543771044,2126.0128748742045,60.16326456555908,65.69900944291851,-75.97791663280475,-107.89072192121492,13.002668896839623,-5.535744877359427
DRP07c,HiCARS,Data_20181115_01_008,2018,77.56832362297654,2188.3291228956227,2209.14848233328,82.23031314483865,86.76891128882502,-76.81811209140838,-109.06822420226601,-20.819359437657113,-4.538598143986377
DRP08a,HiCARS,Data_20121012_03_009,2012,89.47731163439752,834.2235033670034,,39.7321683419499,,-75.3500088568496,-107.22769821390656,,
DRP08a,HiCARS,Data_20121012_03_014,2012,441.54262109686107,1312.6043535353535,1273.877560538225,43.98782315408821,30.067713288806303,-75.4389718508937,-107.24466442760057,38.72679299712854,13.920109865281908
DRP08a,HiCARS,Data_20121012_03_017,2012,117.4212503907052,1529.8291936026935,1521.5759750873244,57.646597624789386,44.99025968953839,-75.52935596828453,-107.24763711259592,8.253218515369099,12.656337935250995
DRP08a,HiCARS,Data_20121012_03_022,2012,60.38943808538338,1358.1684410774412,1335.8021641755,55.31176983345502,32.226459416169654,-75.61889526535282,-107.28564877425495,22.36627690194132,23.085310417285363
DRP08a,HiCARS,Data_20121012_03_026,2012,541.6498094280503,1408.4187643097644,1380.0340239164104,52.8494220640919,40.76425932022211,-75.57425697223253,-107.25855683905999,28.384740393353923,12.085162743869788
DRP08a,HiCARS,Data_20121012_03_030,2012,262.75061464054073,1237.588723905724,1203.1065849527681,49.0950968900558,28.534157371055056,-75.48429442811539,-107.23804142982686,34.48213895295589,20.560939519000744
DRP08a,HiCARS,Data_20121012_03_033,2012,138.39266343487748,999.9845723905722,946.5617984554867,41.03806841921795,25.125691103078438,-75.39455538792598,-107.23376965294432,53.4227739350855,15.912377316139512
DRP08a,HiCARS,Data_20121016_02_007,2012,375.34297503966064,2175.620718855219,2193.9002431491645,81.98293362104062,59.38541300865226,-76.01112844885503,-107.50703026246325,-18.279524293945542,22.597520612388358
DRP08a,HiCARS,Data_20121016_02_011,2012,99.48908398773754,2167.3326565656566,2149.668383408254,73.00367400239539,65.00510266670481,-76.11354328372634,-107.60049212215283,17.664273157402476,7.9985713356905705
DRP08a,HiCARS,Data_20121016_02_016,2012,22.073535118254814,2348.113760942761,2335.442194320078,78.76070568658649,69.73858869787553,-76.24317651309556,-107.72524506961534,12.671566622682803,9.022116988710962
DRP08a,HiCARS,Data_20121016_02_020,2012,32.08749639865555,2349.7524983164985,2432.752285750082,84.4398652913653,69.46433835882546,-76.29406102686956,-107.77476017512953,-82.9997874335836,14.975526932539836
DRP08a,HiCARS,Data_20121016_02_026,2012,522.3652092097011,2257.580808080808,2220.4393589937113,71.0139788690263,67.96149201501196,-76.37317384285774,-107.86407804851655,37.14144908709659,3.0524868540143473
DRP08a,HiCARS,Data_20121016_02_030,2012,382.63201338563266,2209.15193939394,2211.5929870455293,73.23634911610856,72.88997545483666,-76.43398152668597,-107.93418087242394,-2.4410476515890878,0.3463736612718975
DRP08a,HiCARS,Data_20121016_02_035,2012,442.2618425347823,2315.386816498317,2370.827682112807,84.90512576661735,69.00353702388233,-76.5183040391901,-108.02178828448508,-55.44086561449012,15.901588742735015
DRP08a,HiCARS,Data_20121016_02_040,2012,187.41896855773976,2488.527947811448,2468.137773542811,76.56157007295086,74.89469852980493,-76.5779318394662,-108.10910176874407,20.39017426863711,1.6668715431459304
DRP08a,HiCARS,Data_20121023_04_038,2012,544.117405310695,547.1784225589225,327.7316652111788,23.87110276594461,23.260007208366016,-75.23367816114154,-107.20178304868425,219.44675734774376,0.6110955575785937
DRP08a,HiCARS,Data_20121023_04_072,2012,327.26864860308626,1746.478282828283,1594.3702631895205,68.67900539307075,51.25459054233043,-75.85619794793242,-107.38113544258695,152.10801963876247,17.42441485074032
DRP08a,HiCARS,Data_20141103_04_017,2014,94.57240052392541,1696.3613535353536,1650.1261529623582,59.34670080820287,61.72239314429184,-75.72999149997028,-107.33548052149905,46.23520057299538,-2.3756923360889743
DRP08a,HiCARS,Data_20141103_04_022,2014,1047.603925050738,1788.491166666667,1779.7789221236865,64.23623203173028,79.76373235064204,-75.87534704778612,-107.38530494279686,8.712244542980443,-15.527500318911763
DRP08a,HiCARS,Data_20141103_04_025,2014,419.28894947465847,2227.4343602693607,2246.1921306650875,77.91325156481933,85.20636391145084,-75.96881169553774,-107.46517214164044,-18.757770395726766,-7.293112346631503
DRP08a,HiCARS,Data_20141103_04_031,2014,1334.5408491257951,2404.2308350168346,2338.801251494607,79.77696493980187,83.93448713620725,-76.24904640760272,-107.74049949734575,65.4295835222274,-4.157522196405381
DRP08a,HiCARS,Data_20141103_04_036,2014,500.8232956200134,2484.1686531986534,2542.5413173195516,80.45475572394345,83.49764870770517,-76.57605535343666,-108.09555710338952,-58.37266412089821,-3.0428929837617176
